chip,dtype,profile,n,d,g,o,repeat,fit_s,admm_iters,nll,max_kkt,status
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,5,5.038,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,6,5.036,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,7,5.031,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,6,32.473,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,8,5.036,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,1024,6,13,78,0,316.781,8,-509316.6875,185408.734375,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,9,5.038,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,10,5.035,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,64,6,13,78,11,5.035,7,-22952.361711283993,17337.731555118426,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,512,6,13,78,2,109.968,7,-233319.71875,111084.5625,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,7,32.474,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,0,30.88,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,1,15.987,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float32,matern52,512,6,13,78,4,73.381,7,-238059.671875,220637.296875,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,8,32.489,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,2,16.002,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,3,16.031,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,9,32.487,11,-51109.55675219574,26200.415282127262,ok
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,4,16.029,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float32,rbf,4096,6,13,78,0,,,,,JaxRuntimeError
NVIDIA GeForce RTX 2080 Ti,float64,matern52,128,6,13,78,5,16.031,6,-51260.138628422916,42408.59608571342,ok
NVIDIA GeForce RTX 2080 Ti,float64,rbf,128,6,13,78,10,32.47,11,-51109.55675219574,26200.415282127262,ok
